"73","PT-STI","SUELA TITA","38","PVC","100","100","100"
"74","PT-STI","SUELA TITA","39","PVC","100","100","100"
"75","PT-STI","SUELA TITA","40","PVC","100","100","100"
"76","PT-SVA","SUELA VALENTINA","34","PVC","100","100","100"
"77","PT-SVA","SUELA VALENTINA","35","PVC","100","100","100"
"78","PT-SVA","SUELA VALENTINA","36","PVC","100","100","100"
"79","PT-SVA","SUELA VALENTINA","37","PVC","100","100","100"
"80","PT-SVA","SUELA VALENTINA","38","PVC","100","100","100"
"81","PT-SVA","SUELA VALENTINA","39","PVC","100","100","100"
"82","PT-SVA","SUELA VALENTINA","40","PVC","100","100","100"
"83","PT-SLU","SUELA LUNA","34","PVC","100","100","100"
"84","PT-SLU","SUELA LUNA","35","PVC","100","100","100"
"85","PT-SLU","SUELA LUNA","36","PVC","100","100","100"
"86","PT-SLU","SUELA LUNA","37","PVC","100","100","100"
"87","PT-SLU","SUELA LUNA","38","PVC","100","100","100"
"88","PT-SLU","SUELA LUNA","39","PVC","100","100","100"
"89","PT-SLU","SUELA LUNA","40","PVC","100","100","100"
"90","PT-SMA","SUELA MACAO","34","PVC","100","100","100"
"91","PT-SMA","SUELA MACAO","35","PVC","100","100","100"
"92","PT-SMA","SUELA MACAO","36","PVC","100","100","100"
"93","PT-SMA","SUELA MACAO","37","PVC","100","100","100"
"94","PT-SMA","SUELA MACAO","38","PVC","100","100","100"
"95","PT-SMA","SUELA MACAO","39","PVC","100","100","100"
"96","PT-SMA","SUELA MACAO","40","PVC","100","100","100"
"97","PT-SPIME","SUELA PILI MEDIANA","27","PVC","100","100","100"
"98","PT-SPIME","SUELA PILI MEDIANA","28","PVC","100","100","100"
"99","PT-SPIME","SUELA PILI MEDIANA","29","PVC","100","100","100"
"100","PT-SPIME","SUELA PILI MEDIANA","30","PVC","100","100","100"
"101","PT-SPIME","SUELA PILI MEDIANA","31","PVC","100","100","100"
"102","PT-SPIME","SUELA PILI MEDIANA","32","PVC","100","100","100"
"103","PT-SPIME","SUELA PILI MEDIANA","33","PVC","100","100","100"
"104","PT-SPIGR","SUELA PILI GRANDE","34","PVC","100","100","100"
"105","PT-SPIGR","SUELA PILI GRANDE","35","PVC","100","100","100"
"106","PT-SPIGR","SUELA PILI GRANDE","36","PVC","100","100","100"
"107","PT-SPIGR","SUELA PILI GRANDE","37","PVC","100","100","100"
"108","PT-SPIGR","SUELA PILI GRANDE","38","PVC","100","100","100"
"109","PT-SPIGR","SUELA PILI GRANDE","39","PVC","100","100","100"
"110","PT-SPIGR","SUELA PILI GRANDE","40","PVC","100","100","100"
"111","PT-SPIMESI","SUELA PILI CON SILVATRIM MEDIANA","27","PVC","100","100","100"
"112","PT-SPIMESI","SUELA PILI CON SILVATRIM MEDIANA","28","PVC","100","100","100"
"113","PT-SPIMESI","SUELA PILI CON SILVATRIM MEDIANA","29","PVC","100","100","100"
"114","PT-SPIMESI","SUELA PILI CON SILVATRIM MEDIANA","30","PVC","100","100","100"
"115","PT-SPIMESI","SUELA PILI CON SILVATRIM MEDIANA","31","PVC","100","100","100"
"116","PT-SPIMESI","SUELA PILI CON SILVATRIM MEDIANA","32","PVC","100","100","100"
"117","PT-SPIMESI","SUELA PILI CON SILVATRIM MEDIANA","33","PVC","100","100","100"
"118","PT-SPIGRSI","SUELA PILI CON SILVATRIM GRANDE","34","PVC","100","100","100"
"119","PT-SPIGRSI","SUELA PILI CON SILVATRIM GRANDE","35","PVC","100","100","100"
"120","PT-SPIGRSI","SUELA PILI CON SILVATRIM GRANDE","36","PVC","100","100","100"
"121","PT-SPIGRSI","SUELA PILI CON SILVATRIM GRANDE","37","PVC","100","100","100"
"122","PT-SPIGRSI","SUELA PILI CON SILVATRIM GRANDE","38","PVC","100","100","100"
"123","PT-SPIGRSI","SUELA PILI CON SILVATRIM GRANDE","39","PVC","100","100","100"
"124","PT-SPIGRSI","SUELA PILI CON SILVATRIM GRANDE","40","PVC","100","100","100"
"125","PT-SUELI","SUELIN NICOLLE","34","PVC","100","100","100"
"126","PT-SUELI","SUELIN NICOLLE","35","PVC","100","100","100"
"127","PT-SUELI","SUELIN NICOLLE","36","PVC","100","100","100"
"128","PT-SUELI","SUELIN NICOLLE","37","PVC","100","100","100"
"129","PT-SUELI","SUELIN NICOLLE","38","PVC","100","100","100"
"130","PT-SUELI","SUELIN NICOLLE","39","PVC","100","100","100"
"131","PT-SUELI","SUELIN NICOLLE","40","PVC","100","100","100"
"132","PT-SSA","SUELA SAMAYA","34","PVC","100","100","100"
"133","PT-SSA","SUELA SAMAYA","35","PVC","100","100","100"
"134","PT-SSA","SUELA SAMAYA","36","PVC","100","100","100"
"135","PT-SSA","SUELA SAMAYA","37","PVC","100","100","100"
"136","PT-SSA","SUELA SAMAYA","38","PVC","100","100","100"
"137","PT-SSA","SUELA SAMAYA","39","PVC","100","100","100"
"138","PT-SSA","SUELA SAMAYA","40","PVC","100","100","100"
"139","PT-SVARE","SUELA VALEX REDONDA","34","PVC","100","100","100"
"140","PT-SVARE","SUELA VALEX REDONDA","35","PVC","100","100","100"
"141","PT-SVARE","SUELA VALEX REDONDA","36","PVC","100","100","100"
"142","PT-SVARE","SUELA VALEX REDONDA","37","PVC","100","100","100"
"143","PT-SVARE","SUELA VALEX REDONDA","38","PVC","100","100","100"
"144","PT-SVARE","SUELA VALEX REDONDA","39","PVC","100","100","100"
"145","PT-SVARE","SUELA VALEX REDONDA","40","PVC","100","100","100"
"146","PT-SVAPU","SUELA VALEX PUNTUDA","34","PVC","100","100","100"
