116,SUELA BRAHAMA DAMA,35,CAFE,48
117,SUELA BRAHAMA DAMA,36,CAFE,46
118,SUELA BRAHAMA DAMA,37,CAFE,61
119,SUELA BRAHAMA DAMA,38,CAFE,124
120,SUELA BRAHAMA DAMA,39,CAFE,87
121,SUELA BRAHAMA DAMA,40,CAFE,68
122,SUELA BRAHAMA DAMA,34,VAINILLA,25
123,SUELA BRAHAMA DAMA,36,CARTON,30
124,SUELA BRAHAMA DAMA,37,CARTON,6
125,SUELA BRAHAMA DAMA,38,CARTON,7
126,SUELA BRAHAMA DAMA,39,CARTON,2
127,SUELA BRAHAMA NIÑA,27,BLANCO,2
128,SUELA BRAHAMA NIÑA,28,BLANCO,13
129,SUELA BRAHAMA NIÑA,31,BLANCO,7
130,SUELA BRAHAMA NIÑA,27,KLIM,54
131,SUELA BRAHAMA NIÑA,28,KLIM,54
132,SUELA BRAHAMA NIÑA,29,KLIM,60
133,SUELA BRAHAMA NIÑA,30,KLIM,55
134,SUELA BRAHAMA NIÑA,31,KLIM,69
135,SUELA BRAHAMA NIÑA,32,KLIM,49
136,SUELA BRAHAMA NIÑA,33,KLIM,53
137,SUELA BRAHAMA NIÑA,27,CAFE,41
138,SUELA BRAHAMA NIÑA,28,CAFE,47
139,SUELA BRAHAMA NIÑA,29,CAFE,29
140,SUELA BRAHAMA NIÑA,30,CAFE,42
141,SUELA BRAHAMA NIÑA,31,CAFE,42
142,SUELA BRAHAMA NIÑA,32,CAFE,41
143,SUELA BRAHAMA NIÑA,33,CAFE,40
144,SUELA CANOA PUNTOS,34,CAFE,50
145,SUELA CANOA PUNTOS,35,CAFE,1
146,SUELA CANOA PUNTOS,36,CAFE,42
147,SUELA CANOA PUNTOS,37,CAFE,54
148,SUELA CANOA PUNTOS,38,CAFE,40
149,SUELA CANOA PUNTOS,39,CAFE,65
150,SUELA CANOA PUNTOS,40,CAFE,23
151,SUELA CHUNKY,35,BLANCO,66
152,SUELA CHUNKY,36,BLANCO,13
153,SUELA CHUNKY,37,BLANCO,22
154,SUELA CHUNKY,38,BLANCO,79
155,SUELA CHUNKY,39,BLANCO,52
156,SUELA CHUNKY,40,BLANCO,11
157,SUELA CHUNKY,41,BLANCO,3
158,SUELA CHUNKY,42,BLANCO,4
159,SUELA CHUNKY,36,KLIM,8
160,SUELA CHUNKY,37,KLIM,17
161,SUELA CHUNKY,38,KLIM,1
162,SUELA CHUNKY,40,KLIM,555
163,SUELA CLOUDFORM,35,BLANCO,19
164,SUELA CLOUDFORM,36,BLANCO,32
165,SUELA CLOUDFORM,37,BLANCO,33
166,SUELA CLOUDFORM,38,BLANCO,1
167,SUELA CLOUDFORM,39,BLANCO,5
168,SUELA CLOUDFORM,40,BLANCO,56
169,SUELA CLOUDFORM,34,NEGRO,52
170,SUELA CLOUDFORM,35,NEGRO,80
171,SUELA CLOUDFORM,36,NEGRO,60
172,SUELA CLOUDFORM,37,NEGRO,45
173,SUELA CLOUDFORM,38,NEGRO,92
174,SUELA CLOUDFORM,35,KLIM,6
175,SUELA CLOUDFORM,37,KLIM,18
176,SUELA CLOUDFORM,38,KLIM,23
177,SUELA CLOUDFORM,40,KLIM,25
178,SUELA COLEGIAL MED,28,NEGRO,3
179,SUELA COLEGIAL MED,31,NEGRO,7
180,SUELA CORONA,35,BLANCO,118
181,SUELA CORONA,36,BLANCO,162
182,SUELA CORONA,37,BLANCO,194
183,SUELA CORONA,38,BLANCO,94
184,SUELA CORONA,39,BLANCO,150
185,SUELA CORONA,40,BLANCO,102
186,SUELA CORONA,35,NEGRO,20
187,SUELA CORONA,37,NEGRO,7
188,SUELA CORONA,38,NEGRO,18
189,SUELA CORONA,39,NEGRO,17
190,SUELA CORONA,40,NEGRO,13
191,SUELA CRISTAL,36,BLANCO,12
192,SUELA CRISTAL,36,HUESO,20
193,SUELA CUÑA CRAZY,34,BLANCO,56
194,SUELA CUÑA CRAZY,35,BLANCO,4
195,SUELA CUÑA CRAZY,36,BLANCO,3
196,SUELA CUÑA CRAZY,40,BLANCO,1
197,SUELA CUÑA CRAZY,34,NEGRO,33
198,SUELA CUÑA CRAZY,36,NEGRO,34
